,Title,Price,Rating
0,"truke BTG1 Earbuds with Game Mode, 48H Playtime, Quad M...",₹899,"(59,668)"
1,"Boult Audio Y1 with Zen ENC Mic, 40Hrs Playtime, Fast C...",₹999,"(2,71,379)"
2,"OnePlus Bullets Wireless Z2 with Fast Charge, 30 Hrs Ba...","₹1,499","(8,66,605)"
3,OnePlus Bullets Wireless Z2 Bluetooth Headset,"₹1,499","(8,66,605)"
4,Apple AirPods(2nd gen) with Charging Case Bluetooth Hea...,"₹8,499","(1,30,512)"
5,"boAt Airdopes 161 with 40 Hours Playback, ASAP Charge &...",₹899,"(6,97,668)"
6,Kedge K-Strings 03 Wireless Bluetooth Neckband With HD ...,₹539,(5)
7,DigiClues M19 Earbuds with 48 Hours Palyback and ASAP C...,₹599,(518)
8,OnePlus Bullets Wireless Z2 Bluetooth Headset,"₹1,499","(8,66,605)"
9,"Noise Buds VS102 with 50 Hrs Playtime, 11mm Driver, IPX...",₹899,"(4,08,247)"
10,"truke BTG Storm Gaming Earbuds with 40ms Low Latency, 5...",₹899,"(7,477)"
11,"Boult Audio Maverick with Quad Mic ENC, 45ms Low Latenc...","₹1,499","(14,931)"
12,OnePlus Nord Buds 2 True Wireless Earbuds with 25dB Act...,"₹2,499","(38,933)"
13,Worricow Over the head Wirless Active Noise cancellatio...,₹475,
14,OnePlus Bullets Wireless Z2 Bluetooth Headset,"₹1,499","(8,66,605)"
15,OnePlus Bullets Wireless Z2 ANC Bluetooth in Ear Earpho...,"₹1,999","(18,493)"
16,"Boult Audio ProBass Fcharge with 40 hrs Playtime, ENC, ...",₹999,"(1,03,933)"
17,"Boult Audio Astra with Quad Mic ENC, 48Hrs Battery, Low...","₹1,299","(13,090)"
18,summore HF-999 Wired Headset,₹999,(13)
19,OPPO Enco Buds 2 with 28 hours Battery life & Deep Nois...,"₹1,799","(2,54,892)"
20,"Boult Audio Ammo 40H Playtime, ZEN ENC Mic, 40ms Low La...","₹1,399","(6,520)"
21,"truke BTG NEO with Dual Pairing, 6Mic ENC, 80H Playtime...","₹1,099","(4,179)"
22,realme Techlife Buds T100 with up to 28 Hours Playback ...,"₹1,399","(1,59,377)"
23,OnePlus Nord Buds 2r True Wireless in Ear Earbuds with ...,"₹2,199","(32,373)"
24,APPLE AirPods Pro (2nd generation) with Active Noise Ca...,"₹18,999","(9,626)"
25,boAt Airdopes 131 with upto 60 Hours and ASAP Charge Bl...,₹899,"(16,98,081)"
26,"Boult Audio Astra with Quad Mic ENC, 48Hrs Battery, Low...","₹1,299","(13,090)"
27,"Boult Audio Z40 with Zen ENC Mic, 60H Battery Life, Low...","₹1,099","(1,29,234)"
28,honey buny i12 tws earpods Bluetooth Headset_09 Bluetoo...,₹474,
29,"realme Buds Wireless 3 with 30dB ANC, 360 degree Spatia...","₹1,699","(34,853)"
30,"Boult Audio Y1 with Zen ENC Mic, 40Hrs Playtime, Fast C...",₹899,"(2,71,379)"
31,"Boult Audio Z40 with Zen ENC Mic, 60H Battery Life, Low...","₹1,099","(1,29,234)"
32,OnePlus Nord Buds 2r True Wireless in Ear Earbuds with ...,"₹1,799","(32,373)"
33,"Nothing Ear (2) with Dual chamber sound, Hi-res audio, ...","₹6,999","(8,314)"
34,Worricow New Brand Wireless Bluetooth Headphones with H...,₹475,
35,"realme Buds T300 with 12.4mm Driver, 30dB ANC, 360 Spat...","₹2,099","(13,081)"
36,N2B MAGNET & k1 Pack of 2 Bluetooth Bluetooth Headset,₹410,"(47,493)"
37,bAot 102 NB With Upto 24 Hour Play Back Bluetooth Heads...,₹649,(139)
38,boAt Nirvana Ion with 120 Hours Playback & Crystal Bion...,"₹1,999","(21,152)"
39,"Noise Buds VS102 with 50 Hrs Playtime, 11mm Driver, IPX...",₹899,"(4,08,247)"
