,Name,Rating,Type,Hq,Old,Employee
0,TCS,3.8, Public , Mumbai +308 more, 55 years old , 1 Lakh+ Employees 
1,Accenture,4.0, Public , Dublin +156 more, 34 years old , 1 Lakh+ Employees 
2,Cognizant,3.9, Forbes Global 2000 , Teaneck. New Jersey. +131 more, 29 years old , 1 Lakh+ Employees 
3,Wipro,3.8, Public , Bangalore/Bengaluru +260 more, 78 years old , 1 Lakh+ Employees 
4,ICICI Bank,4.0, Public , Mumbai +1227 more, 29 years old , 1 Lakh+ Employees 
5,HDFC Bank,3.9, Public , Mumbai +1465 more, 29 years old , 1 Lakh+ Employees 
6,Infosys,3.9, Public , Bengaluru/Bangalore +153 more, 42 years old , 1 Lakh+ Employees 
7,Capgemini,3.8, Public , Paris +106 more, 56 years old , 1 Lakh+ Employees 
8,Tech Mahindra,3.7, Public , Pune +245 more, 37 years old , 1 Lakh+ Employees 
9,HCLTech,3.7, Public , Noida +162 more, 32 years old , 1 Lakh+ Employees 
10,Genpact,3.9, Public , New York +89 more, 26 years old , 1 Lakh+ Employees 
11,Axis Bank,3.8, Public , Mumbai +1247 more, 30 years old , 50k-1 Lakh Employees 
12,Concentrix Corporation,3.9, Public , Fremont +98 more, 40 years old , 50k-1 Lakh Employees 
13,Amazon,4.1, Public , Seattle +412 more, 29 years old , 1 Lakh+ Employees 
14,Reliance Jio,3.9, Public , Navi Mumbai +1111 more, 16 years old , 50k-1 Lakh Employees 
15,IBM,4.1, Public , Armonk +139 more, 112 years old , 50k-1 Lakh Employees 
16,Larsen & Toubro Limited,4.0, Public , Mumbai +601 more, 85 years old , 10k-50k Employees 
17,Reliance Retail,3.9, 17 years old ,, Navi Mumbai +935 more, 1 Lakh+ Employees 
18,HDB Financial Services,4.0, 16 years old ,, Ahmedabad +910 more, 1 Lakh+ Employees 
19,Teleperformance,3.6, Forbes Global 2000 , Paris +143 more, 45 years old , 50k-1 Lakh Employees 
